time,subTotalMins
0000,21322
0005,21329
0010,21281
0015,21048
0020,20997
0025,20948
0030,20907
0035,20892
0040,20863
0045,20836
0050,20802
0055,20660
0100,20587
0105,20610
0110,20562
0115,20444
0120,20375
0125,20338
0130,20288
0135,20290
0140,20196
0145,20052
0150,20034
0155,20056
0200,20062
0205,20074
0210,20045
0215,19913
0220,19835
0225,19759
0230,19686
0235,19668
0240,19692
0245,19649
0250,19597
0255,19550
0300,19375
0305,19313
0310,19324
0315,19353
0320,19379
0325,19313
0330,19253
0335,19224
0340,19141
0345,19112
0350,19126
0355,19193
0400,19176
0405,19160
0410,19240
0415,19158
0420,19152
0425,19132
0430,19107
0435,19118
0440,19140
0445,19126
0450,19122
0455,19139
0500,19147
0505,19123
0510,19113
0515,19146
0520,19137
0525,19191
0530,19219
0535,19273
0540,19229
0545,19252
0550,19296
0555,19406
0600,19464
0605,19482
0610,19471
0615,19572
0620,19664
0625,19772
0630,19826
0635,19875
0640,19925
0645,19981
0650,20042
0655,20096
0700,20190
0705,20312
0710,20450
0715,20654
0720,20744
0725,20909
0730,20984
0735,21187
0740,21277
0745,21479
0750,21657
0755,21783
0800,21934
0805,22062
0810,22162
0815,22389
0820,22535
0825,22740
0830,22741
0835,22871
0840,22949
0845,23170
0850,23300
0855,23398
0900,23657
0905,23811
0910,23884
0915,23970
0920,24013
0925,24233
0930,24416
0935,24514
0940,24683
0945,24747
0950,24839
0955,24825
1000,24911
1005,25011
1010,25070
1015,25101
1020,25076
1025,25185
1030,25169
1035,25216
1040,25253
1045,25264
1050,25322
1055,25311
1100,25215
1105,25108
1110,25141
1115,25219
1120,25213
1125,25159
1130,25034
1135,24961
1140,24946
1145,24834
1150,24736
1155,24670
1200,24585
1205,24542
1210,24482
1215,24387
1220,24373
1225,24378
1230,24309
1235,24294
1240,24246
1245,24153
1250,24112
1255,24121
1300,24035
1305,23955
1310,23953
1315,23930
1320,23920
1325,23987
1330,23895
1335,23767
1340,23810
1345,23655
1350,23568
1355,23447
1400,23344
1405,23318
1410,23233
1415,23075
1420,23102
1425,23054
1430,22997
1435,22955
1440,22960
1445,22937
1450,22911
1455,22863
1500,22772
1505,22762
1510,22749
1515,22642
1520,22609
1525,22506
1530,22443
1535,22438
1540,22534
1545,22442
1550,22435
1555,22393
1600,22237
1605,22192
1610,22172
1615,22128
1620,22063
1625,22065
1630,22006
1635,21930
1640,21925
1645,21829
1650,21849
1655,21860
1700,21863
1705,21816
1710,21724
1715,21605
1720,21587
1725,21661
1730,21707
1735,21738
1740,21832
1745,21908
1750,21950
1755,21976
1800,21883
1805,21889
1810,21984
1815,22016
1820,22073
1825,22077
1830,22107
1835,22175
1840,22223
1845,22242
1850,22293
1855,22376
1900,22485
1905,22588
1910,22670
1915,22584
1920,22580
1925,22666
1930,22669
1935,22681
1940,22705
1945,22712
1950,22710
1955,22730
2000,22710
2005,22844
2010,22866
2015,22855
2020,22861
2025,22854
2030,22891
2035,22918
2040,22905
2045,22873
2050,22806
2055,22782
2100,22670
2105,22579
2110,22615
2115,22584
2120,22581
2125,22577
2130,22513
2135,22460
2140,22549
2145,22563
2150,22494
2155,22513
2200,22490
2205,22411
2210,22412
2215,22412
2220,22366
2225,22416
2230,22331
2235,22298
2240,22366
2245,22254
2250,22120
2255,22098
2300,22091
2305,22044
2310,21987
2315,21866
2320,21783
2325,21732
2330,21609
2335,21526
2340,21480
2345,21457
2350,21366
2355,21299
